USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-BOI,USA-ANC
USA-DEN
USA-LAX,USA-SAN
USA-OKL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-DET
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CHI
USA-COO,USA-SEA,USA-POR
USA-ATL
USA-PHX
USA-ORL
USA-JAF,USA-KAN
USA-BOS
