USA-NYM
USA-NEO,USA-SLT
USA-PIT
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-ORL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DET
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-COO,USA-SEA,USA-SAT
USA-PHX
USA-CHI
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DAL
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-WAS
USA-LAX,USA-SAN
USA-DEN
USA-BOS
